word,global_frequency,document_frequency,idf_score
common,179,111,1.195832
tomorrow,179,124,1.085080
early,178,97,1.330651
canon,178,99,1.310242
ordinary,178,96,1.341014
attachment,178,75,1.587874
area,178,105,1.251401
stuff,178,90,1.405552
vision,178,42,2.167692
familiar,177,100,1.300192
old,177,88,1.428025
ready,176,99,1.310242
normal,176,127,1.061175
pretty,176,98,1.320394
key,176,126,1.069080
recognizing,175,93,1.372762
worse,175,51,1.973536
feet,174,92,1.383573
stability,174,79,1.535914
angry,174,67,1.700669
imc,174,101,1.290241
leads,173,68,1.685854
couple,172,114,1.169163
putting,172,103,1.270633
experiencing,172,103,1.270633
response,172,74,1.601297
listen,172,82,1.498643
taught,171,94,1.362067
personal,171,92,1.383573
supports,171,100,1.300192
hands,171,103,1.270633
confidence,171,61,1.794488
shoulders,171,101,1.290241
characteristics,170,62,1.778227
actions,170,76,1.574629
air,170,77,1.561556
operating,170,72,1.628696
play,169,85,1.462711
finding,169,115,1.160430
focused,169,95,1.351485
reality,169,95,1.351485
perception,168,49,2.013542
release,168,86,1.451015
concept,167,112,1.186863
general,167,97,1.330651
image,167,89,1.416725
beauty,167,70,1.656867
reason,166,112,1.186863
fourth,165,79,1.535914
seem,165,105,1.251401
reactivity,165,60,1.811017
primary,165,96,1.341014
line,165,84,1.474545
resting,165,88,1.428025
hindrances,165,50,1.993339
concepts,164,59,1.827824
aspects,164,92,1.383573
refuge,164,44,2.121172
drop,164,87,1.439454
list,163,78,1.548653
offering,163,94,1.362067
appropriate,163,84,1.474545
top,162,90,1.405552
spend,162,110,1.204881
amount,161,101,1.290241
choose,161,80,1.523335
night,161,68,1.685854
sensation,160,77,1.561556
unsatisfactoriness,160,95,1.351485
condition,160,76,1.574629
points,159,97,1.330651
warmth,158,84,1.474545
consider,158,101,1.290241
job,157,76,1.574629
add,156,75,1.587874
connecting,156,52,1.954118
daily,156,85,1.462711
powerful,156,99,1.310242
works,156,107,1.232533
toward,156,60,1.811017
wide,155,81,1.510913
yesterday,155,90,1.405552
pointing,155,77,1.561556
receiving,155,58,1.844919
pause,154,57,1.862311
must,154,88,1.428025
dhamma,154,31,2.471375
count,154,33,2.408854
centered,154,70,1.656867
doubt,154,61,1.794488
vedanā,153,10,3.602777
balance,153,67,1.700669
however,152,96,1.341014
fall,152,96,1.341014
steady,152,55,1.898029
wholeness,152,49,2.013542
surface,151,81,1.510913
assume,151,118,1.134677
took,151,87,1.439454
ground,151,86,1.451015
instructions,150,75,1.587874
enlightenment,150,84,1.474545
hearing,150,78,1.548653
perspective,149,57,1.862311
including,149,103,1.270633
beliefs,149,54,1.916378
across,149,72,1.628696
bigger,149,79,1.535914
fine,149,85,1.462711
knows,148,94,1.362067
finally,148,85,1.462711
weight,148,70,1.656867
willing,148,77,1.561556
value,147,83,1.486521
ajahn,147,44,2.121172
flowing,147,70,1.656867
foundation,147,79,1.535914
wishing,147,85,1.462711
core,147,75,1.587874
obvious,147,81,1.510913
related,147,99,1.310242
conditioned,146,79,1.535914
fix,146,72,1.628696
warm,145,68,1.685854
won,145,97,1.330651
ethics,144,37,2.294444
ill,144,65,1.730975
invite,144,72,1.628696
alone,143,87,1.439454
chest,143,91,1.394502
unification,143,70,1.656867
starting,143,102,1.280389
counting,143,29,2.538066
necessarily,142,92,1.383573
receive,141,79,1.535914
short,141,84,1.474545
content,140,65,1.730975
man,140,52,1.954118
senses,140,53,1.935070
discourse,140,66,1.715707
skillful,140,55,1.898029
became,139,72,1.628696
young,139,74,1.601297
pushing,139,86,1.451015
difficulties,139,50,1.993339
soon,138,69,1.671255
audience,138,26,2.647265
sharing,138,60,1.811017
truths,138,52,1.954118
shifting,137,60,1.811017
supposed,137,91,1.394502
told,137,78,1.548653
case,136,80,1.523335
keeps,136,87,1.439454
follow,136,98,1.320394
turning,136,77,1.561556
belief,136,59,1.827824
deer,136,12,3.420455
māra,136,10,3.602777
forms,135,82,1.498643
openness,135,77,1.561556
speaking,135,71,1.642682
existence,134,86,1.451015
changes,134,83,1.486521
engage,133,77,1.561556
liberation,133,72,1.628696
suffer,133,59,1.827824
push,133,78,1.548653
grief,133,51,1.973536
quote,133,79,1.535914
cannot,132,81,1.510913
half,132,71,1.642682
relate,132,79,1.535914
activities,132,75,1.587874
member,132,40,2.216482
piece,132,67,1.700669
possibility,132,79,1.535914
monks,131,44,2.121172
pull,131,73,1.614902
gave,130,82,1.498643
reference,130,68,1.685854
forest,130,59,1.827824
supportive,130,76,1.574629
spread,130,65,1.730975
learned,129,85,1.462711
tend,129,86,1.451015
lots,129,79,1.535914
identity,129,42,2.167692
art,128,59,1.827824
tight,128,75,1.587874
wouldn,128,78,1.548653
appreciating,128,64,1.746479
meant,127,78,1.548653
opportunity,127,79,1.535914
practitioners,126,76,1.574629
hour,126,63,1.762227
calming,126,43,2.144162
harming,126,47,2.055214
conversation,126,59,1.827824
realized,125,77,1.561556
effect,125,59,1.827824
resistance,125,56,1.880010
gift,125,71,1.642682
insights,125,51,1.973536
pay,125,83,1.486521
asking,125,70,1.656867
reflection,124,57,1.862311
lived,124,75,1.587874
discomfort,124,56,1.880010
invitation,124,69,1.671255
dear,124,41,2.191790
rid,124,57,1.862311
society,123,56,1.880010
factors,123,56,1.880010
preoccupied,123,65,1.730975
car,123,52,1.954118
perfect,123,68,1.685854
shows,123,61,1.794488
noticed,123,80,1.523335
entering,123,62,1.778227
avoid,123,62,1.778227
elements,123,40,2.216482
social,122,58,1.844919
stuck,122,69,1.671255
amazing,122,79,1.535914
preoccupation,122,55,1.898029
careful,121,74,1.601297
humans,121,70,1.656867
evening,121,76,1.574629
high,121,71,1.642682
embodied,121,64,1.746479
complete,121,78,1.548653
vipassanā,121,29,2.538066
q,120,91,1.394502
slow,120,93,1.372762
wait,120,80,1.523335
terrible,120,56,1.880010
brahma,120,28,2.573157
lovely,120,76,1.574629
metaphor,119,68,1.685854
english,119,77,1.561556
fire,119,45,2.098699
folks,119,64,1.746479
interest,119,59,1.827824
tree,119,46,2.076720
mentioned,118,79,1.535914
eye,118,58,1.844919
force,118,71,1.642682
inviting,118,59,1.827824
interested,118,83,1.486521
lake,118,32,2.439626
friendly,118,43,2.144162
absorbed,117,56,1.880010
central,117,76,1.574629
loss,117,49,2.013542
aspect,117,87,1.439454
gaze,116,65,1.730975
safety,116,63,1.762227
journey,116,46,2.076720
current,116,52,1.954118
grounded,116,66,1.715707
cushion,115,70,1.656867
standing,115,76,1.574629
harmony,115,39,2.241800
watch,115,68,1.685854
anybody,115,66,1.715707
front,115,74,1.601297
goal,115,54,1.916378
vast,115,61,1.794488
reflect,114,64,1.746479
literally,114,86,1.451015
expression,114,73,1.614902
lose,114,64,1.746479
weeks,114,80,1.523335
anyone,114,65,1.730975
directly,114,85,1.462711
tranquility,114,68,1.685854
involves,114,77,1.561556
eightfold,114,51,1.973536
knowledge,113,42,2.167692
tightness,113,70,1.656867
anicca,113,45,2.098699
gods,113,9,3.708137
enjoy,113,73,1.614902
stable,113,70,1.656867
sati,113,45,2.098699
culture,112,52,1.954118
fundamental,112,85,1.462711
background,112,68,1.685854
cultivation,112,52,1.954118
onward,112,28,2.573157
spot,112,55,1.898029
smile,111,47,2.055214
satisfying,111,55,1.898029
realm,111,51,1.973536
sensual,111,45,2.098699
loved,111,70,1.656867
edges,111,51,1.973536
intelligence,111,22,2.814319
subject,110,39,2.241800
silent,110,46,2.076720
touched,110,72,1.628696
stream,110,47,2.055214
opposite,110,78,1.548653
earlier,110,80,1.523335
check,110,62,1.778227
basic,110,65,1.730975
tense,110,56,1.880010
near,110,54,1.916378
type,109,58,1.844919
ah,109,62,1.778227
aside,109,58,1.844919
preoccupations,109,54,1.916378
watching,109,68,1.685854
described,109,81,1.510913
house,109,52,1.954118
torso,109,65,1.730975
spacious,109,54,1.916378
flood,109,17,3.072149
students,108,27,2.609525
wider,108,56,1.880010
collection,108,66,1.715707
allowed,108,61,1.794488
engaged,108,59,1.827824
inherent,108,73,1.614902
jātaka,108,11,3.507467
theme,107,71,1.642682
guess,107,65,1.730975
friendship,107,36,2.321843
die,107,50,1.993339
rhythm,107,63,1.762227
telling,107,70,1.656867
door,107,61,1.794488
creating,107,73,1.614902
usual,107,66,1.715707
sacred,107,58,1.844919
road,107,36,2.321843
slowly,106,77,1.561556
creates,106,68,1.685854
reading,106,72,1.628696
include,106,68,1.685854
emphasis,106,70,1.656867
tremendous,106,75,1.587874
virtue,106,41,2.191790
practitioner,106,63,1.762227
growing,106,65,1.730975
focusing,106,64,1.746479
offered,106,72,1.628696
emotion,106,50,1.993339
class,105,49,2.013542
inspiration,105,47,2.055214
supported,105,71,1.642682
knew,105,72,1.628696
agitation,105,57,1.862311
patient,105,25,2.686486
attached,104,57,1.862311
understood,104,66,1.715707
concerns,104,64,1.746479
challenges,104,63,1.762227
period,104,70,1.656867
somewhere,104,76,1.574629
couldn,104,74,1.601297
eventually,104,76,1.574629
steadiness,104,36,2.321843
filled,104,67,1.700669
land,104,54,1.916378
judgment,104,49,2.013542
wind,103,48,2.034161
afraid,103,56,1.880010
distracted,103,71,1.642682
minute,103,70,1.656867
grasping,103,48,2.034161
clean,103,54,1.916378
stand,103,68,1.685854
carry,103,63,1.762227
tonight,103,54,1.916378
child,103,52,1.954118
picture,103,50,1.993339
fun,103,52,1.954118
