word,global_frequency_percent,document_frequency_percent,global_freq_score,document_freq_score,avg_tfidf_score,combined_score
every,0.001,0.545,0.999,0.910,0.012,0.103
preoccupation,0.000,0.131,1.000,0.262,0.041,0.103
offering,0.000,0.253,1.000,0.507,0.021,0.103
gets,0.001,0.534,0.999,0.932,0.011,0.103
identity,0.000,0.109,1.000,0.218,0.049,0.103
spot,0.000,0.147,1.000,0.294,0.036,0.103
road,0.000,0.098,1.000,0.196,0.054,0.103
cling,0.000,0.114,1.000,0.229,0.046,0.103
pali,0.000,0.300,1.000,0.599,0.018,0.103
hope,0.000,0.384,1.000,0.768,0.014,0.103
interesting,0.001,0.357,0.999,0.714,0.015,0.103
precepts,0.000,0.054,1.000,0.109,0.097,0.103
ancient,0.000,0.196,1.000,0.392,0.027,0.103
matter,0.000,0.365,1.000,0.730,0.014,0.103
respect,0.000,0.223,1.000,0.447,0.024,0.103
friendly,0.000,0.114,1.000,0.229,0.046,0.103
jataka,0.000,0.033,1.000,0.065,0.161,0.103
posture,0.001,0.599,0.999,0.801,0.013,0.103
move,0.001,0.455,0.999,0.910,0.012,0.103
folks,0.000,0.174,1.000,0.349,0.030,0.103
places,0.000,0.381,1.000,0.763,0.014,0.103
recognizing,0.000,0.248,1.000,0.496,0.021,0.103
found,0.001,0.368,0.999,0.736,0.014,0.103
questions,0.000,0.316,1.000,0.632,0.017,0.103
family,0.000,0.264,1.000,0.529,0.020,0.103
name,0.000,0.270,1.000,0.540,0.019,0.102
connection,0.000,0.294,1.000,0.589,0.018,0.102
sharing,0.000,0.163,1.000,0.327,0.032,0.102
night,0.000,0.177,1.000,0.354,0.030,0.102
group,0.000,0.245,1.000,0.490,0.021,0.102
exactly,0.000,0.373,1.000,0.747,0.014,0.102
cause,0.000,0.262,1.000,0.523,0.020,0.102
continuity,0.000,0.063,1.000,0.125,0.083,0.102
core,0.000,0.153,1.000,0.305,0.034,0.102
example,0.001,0.441,0.999,0.883,0.012,0.102
grounding,0.000,0.139,1.000,0.278,0.037,0.102
turns,0.000,0.215,1.000,0.431,0.024,0.102
full,0.000,0.398,1.000,0.796,0.013,0.102
